Food,Measure,Grams,Calories,Protein,Fat,Sat.Fat,Fiber,Carbs,Category,Sugars (g)
Cows' milk,1 qt.,976,660,32,40,36,0.0,48.0,Dairy products,5.2
Milk skim,1 qt.,984,360,36,t,t,0.0,52.0,Dairy products,5.2
Buttermilk,1 cup,246,127,9,5,4,0.0,13.0,Dairy products,5.2
"Evaporated, undiluted",1 cup,252,345,16,20,18,0.0,24.0,Dairy products,4.8
Fortified milk,6 cups,"1,419","1,373",89,42,23,1.4,119.0,Dairy products,5.2
Powdered milk,1 cup,103,515,27,28,24,0.0,39.0,Dairy products,5.2
"skim, instant",1 1/3 cups,85,290,30,t,t,0.0,42.0,Dairy products,4.8
"skim, non-instant",2/3 cup,85,290,30,t,t,1.0,42.0,Dairy products,4.8
Goats' milk,1 cup,244,165,8,10,8,0.0,11.0,Dairy products,5.2
(1/2 cup ice cream),2 cups,540,690,24,24,22,0.0,70.0,Dairy products,21.0
Cocoa,1 cup,252,235,8,11,10,0.0,26.0,Dairy products,4.8
skim. milk,1 cup,250,128,18,4,3,1.0,13.0,Dairy products,5.2
(cornstarch),1 cup,248,275,9,10,9,0.0,40.0,Dairy products,3.2
Custard,1 cup,248,285,13,14,11,0.0,28.0,Dairy products,4.8
Ice cream,1 cup,188,300,6,18,16,0.0,29.0,Dairy products,21.0
Ice milk,1 cup,190,275,9,10,9,0.0,32.0,Dairy products,5.2
Cream or half-and-half,1/2 cup,120,170,4,15,13,0.0,5.0,Dairy products,4.8
or whipping,1/2 cup,119,430,2,44,27,1.0,3.0,Dairy products,4.8
Cheese,1 cup,225,240,30,11,10,0.0,6.0,Dairy products,1.4
uncreamed,1 cup,225,195,38,t,t,0.0,6.0,Dairy products,4.8
Cheddar,1-in. cube,17,70,4,6,5,0.0,,Dairy products,4.8
"Cheddar, grated cup",1/2 cup,56,226,14,19,17,0.0,1.0,Dairy products,4.8
Cream cheese,1 oz.,28,105,2,11,10,0.0,1.0,Dairy products,1.4
Processed cheese,1 oz.,28,105,7,9,8,0.0,,Dairy products,1.4
Roquefort type,1 oz.,28,105,6,9,8,0.0,,Dairy products,4.8
Swiss,1 oz.,28,105,7,8,7,0.0,,Dairy products,4.8
Eggs raw,2,100,150,12,12,10,0.0,,Dairy products,0.0
Eggs Scrambled or fried,2,128,220,13,16,14,0.0,1.0,Dairy products,0.0
Yolks,2,34,120,6,10,8,0.0,,"Fats, Oils, Shortenings",
Butter,1T.,14,100,t,11,10,0.0,,"Fats, Oils, Shortenings",0.1
Butter,1/2 cup,112,113,114,115,116,117.0,118.0,"Fats, Oils, Shortenings",0.1
Butter,1/4 lb.,112,113,114,115,116,117.0,118.0,"Fats, Oils, Shortenings",0.1
Hydrogenated cooking fat,1/2 cup,100,665,0,100,88,0.0,0.0,"Fats, Oils, Shortenings",0.0
Lard,1/2 cup,110,992,0,110,92,0.0,0.0,"Fats, Oils, Shortenings",0.0
Margarine,1/2 cup,112,806,t,91,76,0.0,,"Fats, Oils, Shortenings",
"Margarine, 2 pat or",1 T.,14,100,t,11,9,0.0,,"Fats, Oils, Shortenings",
Mayonnaise,1 T.,15,110,t,12,5,0.0,,"Fats, Oils, Shortenings",
Corn oil,1 T.,14,125,0,14,5,0.0,0.0,"Fats, Oils, Shortenings",3.2
Olive oil,1T.,14,125,0,14,3,0.0,0.0,"Fats, Oils, Shortenings",0.0
Safflower seed oil,1 T.,14,125,0,14,3,0.0,0.0,"Fats, Oils, Shortenings",0.0
French dressing,1 T.,15,60,t,6,2,0.0,2.0,"Fats, Oils, Shortenings",2.0
Thousand Island sauce,1 T.,15,75,t,8,3,0.0,1.0,"Fats, Oils, Shortenings",1.0
Salt pork,2 oz.,60,470,3,55,,0.0,0.0,"Meat, Poultry",0.0
Bacon,2 slices,16,95,4,8,7,0.0,1.0,"Meat, Poultry",0.0
Beef,3 oz.,85,245,23,16,15,0.0,0.0,"Meat, Poultry",0.0
Hamburger,3 oz.,85,245,21,17,15,0.0,0.0,"Meat, Poultry",6.0
Ground lean,3 oz.,85,185,24,10,9,0.0,0.0,"Meat, Poultry",0.0
Roast beef,3 oz.,85,390,16,36,35,0.0,0.0,"Meat, Poultry",0.0
Steak,3 oz.,85,330,20,27,25,0.0,0.0,"Meat, Poultry",0.0
"Steak, lean, as round",3 oz.,85,220,24,12,11,0.0,0.0,"Meat, Poultry",0.0
Corned beef,3 oz.,85,185,22,10,9,0.0,0.0,"Meat, Poultry",3.2
Corned beef hash canned,3 oz.,85,120,12,8,7,,6.0,"Meat, Poultry",3.2
Corned beef hash Dried,2 oz.,56,115,19,4,4,0.0,0.0,"Meat, Poultry",3.2
Pot-pie,1 pie,227,480,18,28,25,,32.0,"Meat, Poultry",0.0
Corned beef hash Stew,1 cup,235,185,15,10,9,,15.0,"Meat, Poultry",3.2
chicken,3 oz.,85,185,23,9,7,0.0,0.0,"Meat, Poultry",0.0
"Fried, breast or leg and thigh chicken",3 oz.,85,245,25,15,11,0.0,0.0,"Meat, Poultry",0.0
Roasted chicken,3 1/2 oz.,100,290,25,20,16,0.0,0.0,"Meat, Poultry",0.0
"Chicken livers, fried",3 med.,100,140,22,14,12,0.0,2.3,"Meat, Poultry",0.0
"Duck, domestic",3 1/2 oz.,100,370,16,28,0,0.0,0.0,"Meat, Poultry",0.0
"Lamb, chop, broiled",4 oz.,115,480,24,35,33,0.0,0.0,"Meat, Poultry",0.0
Leg roasted,3 oz.,86,314,20,14,14,0.0,0.0,"Meat, Poultry",0.0
"Shoulder, braised",3 oz.,85,285,18,23,21,0.0,0.0,"Meat, Poultry",0.0
"Pork, chop, 1 thick",3 1/2 oz.,100,260,16,21,18,0.0,0.0,"Meat, Poultry",0.0
Ham pan-broiled,3 oz.,85,290,16,22,19,0.0,0.0,"Meat, Poultry",0.0
"Ham, as ",2 oz.,57,170,13,13,11,0.0,0.0,"Meat, Poultry",0.0
"Ham, canned, spiced",2 oz.,57,165,8,14,12,0.0,1.0,"Meat, Poultry",0.0
